"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
0, 1.000012747398087e+00, 2.665232114073079e-02, 1.331830184606942e+00, 2.039547182369296e+02, -5.226327003056234e+01, 2.960825749728338e+05, 1.117761788383278e+05, 2.915439257970062e+02, 4.611909515664208e-01, 2.619558491468113e-01
1, 9.796663539284355e-01, 3.015434377285514e-02, 1.330243630100377e+00, 2.453377517419784e+02, -4.002803203369603e+01, 2.976166792722763e+05, 1.097562147760498e+05, 2.866167222439234e+02, 5.498256054340781e-01, 2.113260197882762e-01
2, 9.593019463702700e-01, 3.354326087557416e-02, 1.294860837207226e+00, 2.505063175647690e+02, -4.107993855045274e+01, 2.903504537457002e+05, 1.061868375342820e+05, 2.848729304152148e+02, 5.785889660338905e-01, 1.218605861987590e-01
3, 9.389256788562443e-01, 3.682246412793264e-02, 1.280362134959131e+00, 2.569598021985983e+02, -4.066625875271749e+01, 2.876211142957557e+05, 1.044761111109459e+05, 2.834573801360892e+02, 6.011708789184138e-01, 7.898171101967845e-02
4, 9.185385509848045e-01, 3.999470916649630e-02, 1.265937686475763e+00, 2.620829174298624e+02, -3.998390849357740e+01, 2.848457860725821e+05, 1.028341077531671e+05, 2.821814414393036e+02, 6.210065207725647e-01, 3.782536009097425e-02
5, 8.981394771447931e-01, 4.306208046119239e-02, 1.252661356819760e+00, 2.659879201284911e+02, -3.927730893539366e+01, 2.822545355435481e+05, 1.013596236233034e+05, 2.810832078656340e+02, 6.377237782485417e-01, 8.678313502510691e-04
6, 8.777293583672361e-01, 4.602647716678239e-02, 1.241123428629815e+00, 2.697450139734046e+02, -3.842314648039653e+01, 2.800313835977055e+05, 1.000494063359895e+05, 2.800290804972726e+02, 6.534862406788873e-01, -3.197239532412727e-02
7, 8.573090902654235e-01, 4.888932952555429e-02, 1.229627231264093e+00, 2.728394634425990e+02, -3.754817973712957e+01, 2.777839104865349e+05, 9.877629047707601e+04, 2.790505173580370e+02, 6.678889038848200e-01, -6.388268516252336e-02
8, 8.368797989757015e-01, 5.165199451927484e-02, 1.219131089298886e+00, 2.757932578872614e+02, -3.663518424604138e+01, 2.757457864012841e+05, 9.760008079381913e+04, 2.781015202426757e+02, 6.816595989241574e-01, -9.336404904678712e-02
9, 8.164399954814718e-01, 5.431511876546308e-02, 1.208461643690946e+00, 2.779927209889235e+02, -3.559740417830871e+01, 2.736271319653433e+05, 9.645132921546664e+04, 2.772547138942047e+02, 6.937940862248870e-01, -1.221571832779696e-01
