"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
0, 1.000013654542334e+00, 2.668883125555661e-02, 1.331747004259840e+00, 2.039209545264267e+02, -5.232284840666227e+01, 2.960639033706186e+05, 1.117694268093920e+05, 2.915445232022483e+02, 4.611800566193174e-01, 2.617866114463872e-01
1, 9.796663056664809e-01, 3.019986878209154e-02, 1.330081678050335e+00, 2.453168880152851e+02, -4.012255508241821e+01, 2.975818110036016e+05, 1.097415363501295e+05, 2.866132851563998e+02, 5.498840104930639e-01, 2.109581091835906e-01
2, 9.593010223379469e-01, 3.359609112822261e-02, 1.294664324959561e+00, 2.505213074947798e+02, -4.116010903339992e+01, 2.903101378961941e+05, 1.061670216878058e+05, 2.848630011430225e+02, 5.787501954906734e-01, 1.213639075971830e-01
3, 9.389239583105333e-01, 3.688106408324571e-02, 1.280113266978458e+00, 2.569869028863173e+02, -4.073314699318051e+01, 2.875703403844445e+05, 1.044507194102001e+05, 2.834435829376691e+02, 6.013884380698350e-01, 7.834527520386785e-02
4, 9.185361083843150e-01, 4.005771882151510e-02, 1.265657871680222e+00, 2.621185801901530e+02, -4.003689772791680e+01, 2.847889545184627e+05, 1.028052960289324e+05, 2.821647486624192e+02, 6.212635233382554e-01, 3.710320235125519e-02
5, 8.981363801609330e-01, 4.312830383085583e-02, 1.252357192348557e+00, 2.660259449861058e+02, -3.931683453078006e+01, 2.821926994380506e+05, 1.013283591186706e+05, 2.810647540201171e+02, 6.380025546735942e-01, 8.419536181968320e-05
6, 8.777256677941513e-01, 4.609487579804684e-02, 1.240805475999265e+00, 2.697840216789432e+02, -3.845039193185072e+01, 2.799667206491122e+05, 1.000167457619021e+05, 2.800093997321526e+02, 6.537785332554410e-01, -3.279102339958359e-02
7, 8.573048601604388e-01, 4.895900909622733e-02, 1.229299824742937e+00, 2.728762088966134e+02, -3.756441983024521e+01, 2.777171445208031e+05, 9.874283733555539e+04, 2.790303056592178e+02, 6.681846581942705e-01, -6.472117871709956e-02
8, 8.368750804234538e-01, 5.172219740442538e-02, 1.218801432680470e+00, 2.758265694685376e+02, -3.664164196723045e+01, 2.756783713739760e+05, 9.756658725298393e+04, 2.780812777911366e+02, 6.819518032126987e-01, -9.420355519878622e-02
9, 8.164348426277465e-01, 5.438520283375393e-02, 1.208130771891603e+00, 2.780201284448084e+02, -3.559521670216161e+01, 2.735591148402474e+05, 9.641806523235864e+04, 2.772350005198142e+02, 6.940754003515568e-01, -1.229909356302981e-01
10, 7.959862955101411e-01, 5.694920623744636e-02, 1.199298389772114e+00, 2.807831767033238e+02, -3.449192064578386e+01, 2.718702177132885e+05, 9.540213655424665e+04, 2.763340757065795e+02, 7.068327916022759e-01, -1.484549013383049e-01
11, 7.755288459939732e-01, 5.941479064667916e-02, 1.189808349733232e+00, 2.826523446273403e+02, -3.338851102611440e+01, 2.699878371202269e+05, 9.437829636985408e+04, 2.755489201726207e+02, 7.178324062674747e-01, -1.741171667192785e-01
12, 7.550634974287457e-01, 6.178151925757991e-02, 1.180714994184045e+00, 2.843413127619502e+02, -3.220574384935161e+01, 2.681801238640334e+05, 9.340126913146795e+04, 2.747965596120894e+02, 7.282743996635275e-01, -1.986060788152420e-01
13, 7.345902385396620e-01, 6.404953987304908e-02, 1.172455510785807e+00, 2.861145109132488e+02, -3.102981361099761e+01, 2.665574101099420e+05, 9.249460489927029e+04, 2.740460972345955e+02, 7.385988831820475e-01, -2.213313620115618e-01
14, 7.141088805685161e-01, 6.621837940493758e-02, 1.164862774540245e+00, 2.875115018597425e+02, -2.976560579685429e+01, 2.650511842286686e+05, 9.167563294006235e+04, 2.733900739756520e+02, 7.475528326185714e-01, -2.418586631247124e-01
15, 6.936214718101155e-01, 6.828692321963042e-02, 1.157236797548723e+00, 2.884541563603255e+02, -2.843983109944923e+01, 2.635080832990254e+05, 9.088336590915907e+04, 2.728134391184396e+02, 7.553706532514485e-01, -2.617166127437718e-01
16, 6.731258875333295e-01, 7.025415881194930e-02, 1.151960639651069e+00, 2.901849280573342e+02, -2.708429112296947e+01, 2.625163248853749e+05, 9.025935051527560e+04, 2.721812197645388e+02, 7.638874316704064e-01, -2.773573825472653e-01
