"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
0, 1.000085599010613e+00, 2.202486022191510e-02, -5.440205927030732e-03, 3.995218241707001e-05, 6.099943712787094e-06, -6.738102423163443e-08, 2.383930839454802e-02, -1.254035270798255e+00, 1.193072993615244e+00
1, 9.797576301711465e-01, 2.564642352399096e-02, -4.346711972516401e-03, 4.147380031173418e-05, 3.993009114746573e-05, -8.733395803934189e-08, 5.248938475067796e-02, 3.748968994955612e-01, -3.783298852990280e-01
2, 9.594109618054654e-01, 2.915300982382323e-02, -2.299529213830328e-03, 2.446474544526648e-05, 2.370783723641802e-05, -5.335559878859952e-08, 4.381885557055711e-02, 2.935870168077233e-01, -2.967809267538257e-01
3, 9.390518008813115e-01, 3.254803327370845e-02, -3.129697223538409e-03, 2.608141640827436e-05, 1.651889261398062e-05, -4.299761850535876e-08, 5.270694331586185e-03, 3.867700174737602e-02, -3.902008982618479e-02
4, 9.186812057594188e-01, 3.583445624075157e-02, -2.475425942228397e-03, 2.268748094623404e-05, 1.324934619282428e-05, -4.397673686674689e-08, 1.587895420136967e-03, 1.519303498940851e-02, -1.525415551170823e-02
5, 8.982981157497107e-01, 3.901461615694590e-02, -2.189391404500647e-03, 1.946356337671073e-05, 9.190078503216668e-06, -4.126246929059230e-08, 5.079405906398390e-03, 3.896662979394182e-02, -3.928624710345394e-02
6, 8.779034515452260e-01, 4.209059770385181e-02, -1.800511296676119e-03, 1.659072559815030e-05, 7.787100462074569e-06, -3.669990832917057e-08, 4.106547244168275e-03, 3.491344126656129e-02, -3.513818071724124e-02
7, 8.574981207709556e-01, 4.506400418739592e-02, -1.928581984012797e-03, 1.580378754334392e-05, 4.909761335819938e-06, -3.362879734615133e-08, 4.232211085114180e-03, 3.623748585207177e-02, -3.647148301093681e-02
8, 8.370832510431672e-01, 4.793633890103055e-02, -2.145669616181393e-03, 1.670586767881419e-05, 3.983782191496741e-06, -2.817154870130896e-08, 9.448588745450732e-04, 1.061200040498909e-02, -1.064143631096735e-02
9, 8.166573342606195e-01, 5.070840530088381e-02, -2.270420146569539e-03, 1.717887311822661e-05, 2.627814406946212e-06, -2.798846550571145e-08, 2.400034581779933e-04, 6.235689979749249e-03, -6.212752840708140e-03
10, 7.962225790028480e-01, 5.338136255015019e-02, -2.150731902455671e-03, 1.596979422640778e-05, 1.117735154018247e-06, -2.551561984263917e-08, 1.253910154537848e-03, 1.453305344190103e-02, -1.457442708738139e-02
11, 7.757783751838516e-01, 5.595580174005420e-02, -2.003117922049178e-03, 1.475519663393107e-05, 5.045473347872332e-08, -2.360199436598462e-08, 5.444652835106982e-04, 8.855895678713324e-03, -8.855867474459250e-03
12, 7.553257273903274e-01, 5.843131379625213e-02, -1.818451250190335e-03, 1.348146440106613e-05, -1.001007476018807e-06, -2.212831512809794e-08, 9.632358222506727e-04, 1.355326048596798e-02, -1.357238131417412e-02
13, 7.348646291253512e-01, 6.080804177958382e-02, -1.908677082616518e-03, 1.326493071534206e-05, -1.660774853548175e-06, -1.898035111413456e-08, 4.855997437579234e-05, 3.604012774262454e-03, -3.586423156227403e-03
14, 7.143948981318115e-01, 6.308552164103440e-02, -1.928353887802987e-03, 1.351556947290535e-05, -2.043551167647346e-06, -1.778456365114127e-08, -4.854544555199638e-04, -6.160640809028961e-04, 6.649540199797006e-04
15, 6.939185776074525e-01, 6.526263477384968e-02, -1.695408437316973e-03, 1.202246253798946e-05, -3.064832289972194e-06, -1.631586274013891e-08, 4.152202141501333e-04, 9.283796851218622e-03, -9.277038924911048e-03
16, 6.734335449414177e-01, 6.733838444257212e-02, -1.555744981368403e-03, 1.088905635141393e-05, -3.741879224804528e-06, -1.407393173905318e-08, 1.729541414894791e-04, 6.555690472520628e-03, -6.540934472166120e-03
17, 6.529428199081482e-01, 6.931077198413113e-02, -1.436116766556838e-03, 1.017483886009322e-05, -4.295617508052360e-06, -1.250655207480605e-08, 6.028868121982526e-05, 5.866766321805740e-03, -5.846814277392217e-03
18, 6.324451290875347e-01, 7.117820272283899e-02, -1.304462047887095e-03, 9.105832557314492e-06, -5.192363935378917e-06, -1.118788541574334e-08, 6.363964123088755e-05, 5.727446866747592e-03, -5.710767907125697e-03
19, 6.119410825801037e-01, 7.293854987182385e-02, -1.138142530160963e-03, 8.108089207947454e-06, -5.747228227883324e-06, -1.001181070178554e-08, 4.267616125971929e-05, 5.050917200453219e-03, -5.037086514655644e-03
20, 5.914306769669849e-01, 7.458813738539490e-02, -1.136684271544979e-03, 7.804624793993918e-06, -6.090924763269737e-06, -8.372234743172526e-09, 1.813426206277243e-04, 5.074063423221597e-03, -5.072870830565906e-03
21, 5.709157828754805e-01, 7.612481184302355e-02, -1.204683682724268e-03, 8.070279907733926e-06, -5.959586477369812e-06, -6.636544847041744e-09, 4.855319918629342e-05, 4.988075275537833e-03, -4.978669358465676e-03
22, 5.503962155988478e-01, 7.754443972556457e-02, -1.065965755476538e-03, 7.355481086280400e-06, -6.359797763002714e-06, -4.781224363859854e-09, -7.753965054349774e-04, -4.948022910302054e-03, 4.988450489506191e-03
23, 5.298724448093628e-01, 7.884327778602981e-02, -9.042557030363519e-04, 6.590953571910707e-06, -6.630858132478601e-06, -5.062559003460727e-09, 2.052081223847821e-03, 9.915909388765796e-03, -1.002134005907659e-02
24, 5.093446366774611e-01, 8.001681588945209e-02, -9.371092457965203e-04, 6.499959652749566e-06, -6.259975624346557e-06, -4.514588141659496e-09, -5.517692052628424e-03, -1.308557981957641e-01, 1.309629404575778e-01
25, 4.888139497997969e-01, 8.106065285825513e-02, -1.019806255461367e-03, 6.326787981891443e-06, -7.908671565041808e-06, -7.514605893297167e-11, -2.060227381467042e-02, -3.113844324177208e-01, 3.120113990466183e-01
26, 4.682811695786938e-01, 8.196838056049294e-02, -1.089793827605342e-03, 6.304103916162890e-06, -1.035198573708081e-05, 3.816027349026232e-09, -4.700305374701523e-03, -1.576894718630054e-01, 1.577501127938106e-01
27, 4.477464152768673e-01, 8.273353180245235e-02, -1.211459011881209e-03, 6.954914060898048e-06, -9.248916331609686e-06, 6.637853268574109e-10, 1.862033984639202e-03, 1.957293149520099e-02, -1.962443698044291e-02
28, 4.272112709089176e-01, 8.334886248737945e-02, -8.789779347345181e-04, 5.544190469487619e-06, -8.659260679660439e-06, 1.475882432908241e-09, 1.519000747623799e-04, 4.726063252843272e-02, -4.724843255580085e-02
29, 4.066765783613592e-01, 8.380827169511303e-02, -3.900254080185781e-04, 2.922427465846666e-06, -9.885263068885517e-06, 6.552851603485269e-09, 2.899596121111624e-04, 1.317622181848857e-02, -1.317930637816125e-02
30, 3.860439776670958e-01, 8.408999970718549e-02, -6.717066728866778e-04, 4.604976602028761e-06, -8.935061528191820e-06, 2.962976553709368e-09, -7.505945927209957e-04, 4.014739792673575e-02, -4.014000345134880e-02
31, 3.653465502608291e-01, 8.414296377373424e-02, 1.174535595460463e-04, 1.047124221009075e-06, -1.175082376803436e-05, 8.434502116681923e-09, -2.393840182495850e-03, 1.228376219417448e-01, -1.228448685452203e-01
32, 3.446516468781067e-01, 8.395307563349608e-02, 7.074420090370207e-04, -1.188139701879627e-06, -1.394030721467723e-05, 1.573989520873029e-08, -3.327565526356303e-03, 1.092660554993433e-01, -1.093041772658526e-01
33, 3.239617650067168e-01, 8.350970723708806e-02, 8.781288318242452e-04, -1.850339851935615e-06, -1.631026522268890e-05, 1.936143240691471e-08, -4.881067801557522e-03, 1.106047574647380e-01, -1.106977883471495e-01
34, 3.032803735892358e-01, 8.280054827026977e-02, 1.313066708993961e-03, -3.546472968212055e-06, -1.973828551555687e-05, 2.461250996600171e-08, -1.108328059482175e-02, 1.886750559626067e-01, -1.889709459602262e-01
35, 2.826118260089650e-01, 8.181139810457325e-02, 2.457194670701632e-03, -7.885185618139494e-06, -2.611855757610135e-05, 3.684029457752613e-08, -1.949551130011725e-02, 2.745271023902275e-01, -2.751835983013126e-01
36, 2.619575391663158e-01, 8.052643631641376e-02, 4.048901808786472e-03, -1.393235059620151e-05, -3.489430201671828e-05, 5.160713889148674e-08, -2.878594899927928e-02, 3.399244327841606e-01, -3.411040249976293e-01
