"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
0, 1.000015044219873e+00, 2.666989594183269e-02, 1.315108767660057e+00, 2.095061436298766e+02, -3.966746669018025e+01, 2.926137258559744e+05, 1.101310307554194e+05, 2.909052928158649e+02, 4.735275523877942e-01, 2.207206765699096e-01
1, 9.796669247881876e-01, 3.017629686461265e-02, 1.336559535479438e+00, 2.430831796990203e+02, -3.807905680096504e+01, 2.988378087523904e+05, 1.104761260956934e+05, 2.871334046727966e+02, 5.411614271450397e-01, 2.293703939172534e-01
2, 9.593012682388907e-01, 3.356865748526817e-02, 1.297527445408786e+00, 2.529557472089451e+02, -4.166324370887977e+01, 2.910649881096908e+05, 1.062955835666612e+05, 2.845786140316059e+02, 5.834141004084856e-01, 1.245862748214392e-01
3, 9.389240937610565e-01, 3.685067175120948e-02, 1.282790884628342e+00, 2.610017663143640e+02, -4.129049818098080e+01, 2.883816323668808e+05, 1.044659483254481e+05, 2.828931803026523e+02, 6.100730334783375e-01, 7.872698366825220e-02
4, 9.185362927966563e-01, 4.002517347893636e-02, 1.267523806806333e+00, 2.658894185538787e+02, -4.066547697100908e+01, 2.854201553312366e+05, 1.027519666670382e+05, 2.816032159088884e+02, 6.299190010884615e-01, 3.576651694039765e-02
5, 8.981366998630971e-01, 4.309420034267342e-02, 1.254862294265546e+00, 2.700483202671300e+02, -3.987802593462251e+01, 2.829793016498789e+05, 1.013153016182663e+05, 2.804675132908787e+02, 6.470326851487048e-01, -2.430872020944757e-04
6, 8.777261729027004e-01, 4.605971195883681e-02, 1.243075483815123e+00, 2.735462723208995e+02, -3.902324108140199e+01, 2.806921907232776e+05, 9.999276684636231e+04, 2.794310589488817e+02, 6.623820120199039e-01, -3.339204815277416e-02
7, 8.573055742463662e-01, 4.892317054042428e-02, 1.232270530678616e+00, 2.766602560733859e+02, -3.808219147950760e+01, 2.785958014217641e+05, 9.878019905126198e+04, 2.784629544128715e+02, 6.765044631240634e-01, -6.378471785321990e-02
8, 8.368760320457076e-01, 5.168601827812902e-02, 1.221978536496103e+00, 2.794175167301377e+02, -3.707811954494421e+01, 2.765910439840969e+05, 9.763309008308564e+04, 2.775473271641285e+02, 6.896833116228714e-01, -9.253668052374253e-02
9, 8.164361055720626e-01, 5.434893408507391e-02, 1.212244937956538e+00, 2.818901082374128e+02, -3.601294654298830e+01, 2.746908160575252e+05, 9.655245714343316e+04, 2.766792204960387e+02, 7.020281076313818e-01, -1.196224402932093e-01
10, 7.959878508590067e-01, 5.691310548158061e-02, 1.203141563707988e+00, 2.841277223710879e+02, -3.491678672120476e+01, 2.729126498558022e+05, 9.554276526202411e+04, 2.758574191764232e+02, 7.135874712429107e-01, -1.449300824513516e-01
11, 7.755307053367915e-01, 5.937908452403624e-02, 1.194487615333253e+00, 2.861136826196369e+02, -3.377427982391256e+01, 2.712161820351208e+05, 9.458900911591905e+04, 2.750822810105532e+02, 7.243832849831856e-01, -1.688357111844179e-01
12, 7.550656652341158e-01, 6.174637455051509e-02, 1.186280246598258e+00, 2.879182952752882e+02, -3.260179509661694e+01, 2.696049077567267e+05, 9.368682193119927e+04, 2.743435792256704e+02, 7.345795492051209e-01, -1.914487784487471e-01
13, 7.345927108383778e-01, 6.401512193522541e-02, 1.178358274133152e+00, 2.894974683734621e+02, -3.137713996152081e+01, 2.680410283123354e+05, 9.282464084762565e+04, 2.736462582313010e+02, 7.441259630821019e-01, -2.130591040741753e-01
